sent_id,text,opinions/0/Target/0/0,opinions/0/Target/1/0,opinions/0/Polar_expression/0/0,opinions/0/Polar_expression/1/0,opinions/0/Polarity,opinions/0/Intensity,opinions/0/Source/0/0,opinions/0/Source/1/0,opinions/1/Polar_expression/0/0,opinions/1/Polar_expression/1/0,opinions/1/Polarity,opinions/1/Intensity,opinions/1/Target/0/0,opinions/1/Target/1/0,opinions/2/Target/0/0,opinions/2/Target/1/0,opinions/2/Polar_expression/0/0,opinions/2/Polar_expression/1/0,opinions/2/Polarity,opinions/2/Intensity,opinions/1/Source/0/0,opinions/1/Source/1/0,opinions/2/Source/0/0,opinions/2/Source/1/0,opinions/3/Source/0/0,opinions/3/Source/1/0,opinions/3/Target/0/0,opinions/3/Target/1/0,opinions/3/Polar_expression/0/0,opinions/3/Polar_expression/1/0,opinions/3/Polarity,opinions/3/Intensity,opinions/4/Target/0/0,opinions/4/Target/1/0,opinions/4/Polar_expression/0/0,opinions/4/Polar_expression/1/0,opinions/4/Polarity,opinions/4/Intensity,opinions/5/Source/0/0,opinions/5/Source/1/0,opinions/5/Target/0/0,opinions/5/Target/1/0,opinions/5/Polar_expression/0/0,opinions/5/Polar_expression/1/0,opinions/5/Polarity,opinions/5/Intensity,opinions/4/Source/0/0,opinions/4/Source/1/0,opinions/6/Source/0/0,opinions/6/Source/1/0,opinions/6/Target/0/0,opinions/6/Target/1/0,opinions/6/Polar_expression/0/0,opinions/6/Polar_expression/1/0,opinions/6/Polarity,opinions/6/Intensity,opinions/7/Source/0/0,opinions/7/Source/1/0,opinions/7/Target/0/0,opinions/7/Target/1/0,opinions/7/Polar_expression/0/0,opinions/7/Polar_expression/1/0,opinions/7/Polarity,opinions/7/Intensity,opinions/8/Source/0/0,opinions/8/Source/1/0,opinions/8/Target/0/0,opinions/8/Target/1/0,opinions/8/Polar_expression/0/0,opinions/8/Polar_expression/1/0,opinions/8/Polarity,opinions/8/Intensity,opinions/9/Source/0/0,opinions/9/Source/1/0,opinions/9/Target/0/0,opinions/9/Target/1/0,opinions/9/Polar_expression/0/0,opinions/9/Polar_expression/1/0,opinions/9/Polarity,opinions/9/Intensity,opinions/10/Target/0/0,opinions/10/Target/1/0,opinions/10/Polar_expression/0/0,opinions/10/Polar_expression/1/0,opinions/10/Polarity,opinions/10/Intensity,opinions/11/Target/0/0,opinions/11/Target/1/0,opinions/11/Polar_expression/0/0,opinions/11/Polar_expression/1/0,opinions/11/Polarity,opinions/11/Intensity,opinions/12/Target/0/0,opinions/12/Target/1/0,opinions/12/Polar_expression/0/0,opinions/12/Polar_expression/1/0,opinions/12/Polarity,opinions/12/Intensity,opinions/13/Target/0/0,opinions/13/Target/1/0,opinions/13/Polar_expression/0/0,opinions/13/Polar_expression/1/0,opinions/13/Polarity,opinions/13/Intensity,opinions/14/Target/0/0,opinions/14/Target/1/0,opinions/14/Polar_expression/0/0,opinions/14/Polar_expression/1/0,opinions/14/Polarity,opinions/14/Intensity,opinions/15/Target/0/0,opinions/15/Target/1/0,opinions/15/Polar_expression/0/0,opinions/15/Polar_expression/1/0,opinions/15/Polarity,opinions/15/Intensity,opinions/16/Target/0/0,opinions/16/Target/1/0,opinions/16/Polar_expression/0/0,opinions/16/Polar_expression/1/0,opinions/16/Polarity,opinions/16/Intensity
../opener/en/kaf/hotel/english00192_e3fe22eeb360723a699504a27e13065e-1,Experienced staff and had a memorable stay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00192_e3fe22eeb360723a699504a27e13065e-2,India as a country has always fascinated me and all of my friends who have been there always have wonderful things to say about it .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00192_e3fe22eeb360723a699504a27e13065e-3,One of my friends who had been there before was planning a weeklong trip to Rajasthan in India and I decided to join him this time .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00192_e3fe22eeb360723a699504a27e13065e-4,"Yes , it really was a great experience and we visited various places but the most wonderful part of the trip was our stay at the Oberoi Udaivilas Luxury Hotel .",the Oberoi Udaivilas Luxury Hotel,125:158,the most wonderful part of the trip,73:108,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00192_e3fe22eeb360723a699504a27e13065e-5,I can ’t explain in words how grand this place looks .,this place,36:46,how grand looks,26:52,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00192_e3fe22eeb360723a699504a27e13065e-6,It is a unique blend of the old world royal charm and the modern luxuries .,It,0:2,unique blend of the old world royal charm and the modern luxuries,8:73,Positive,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00192_e3fe22eeb360723a699504a27e13065e-7,I ’m definitely going there again whenever I get a chance .,there,22:27,definitely going again,5:33,Positive,Strong,I,0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-1,Bit pricey and but away from center,,,Bit pricey,0:10,Negative,Standard,,,away from center,19:35,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-2,You need to count 20 · 30 minutes walking time to get to Dubling city center from this hotel .,,,20 · 30 minutes walking to Dubling city center,18:76,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-3,There is no sauna nor swimming pool .,sauna,12:17,There is no,0:11,Negative,Standard,,,There is no,0:11,Negative,Standard,swimming pool,22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-4,Flat TV with discovery but no HBO .,Flat TV,0:7,with discovery,8:22,Positive,Standard,,,HBO,30:33,Negative,Standard,Flat TV,0:7,Flat TV,0:7,no,27:29,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-5,In my room mattress was ok and it was quiet but I had room with view on wall : ) Most of colleagues were complaining for the mattresses being old and some for noises from outside ( train in particular ) .,mattress,11:19,ok,24:26,Positive,Standard,,,noises,159:165,Negative,Standard,the mattresses,121:135,the mattresses,121:135,complaining,105:116,Negative,Standard,Most of colleagues,81:99,Most of colleagues,81:99,Most of colleagues,81:99,the mattresses,121:135,being old,136:145,Negative,Standard,it,31:33,quiet,38:43,Positive,Standard,I,48:49,room,54:58,with view on wall,59:76,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-6,Service on the other hand was very good and the stuff is quite international : ),the stuff,44:53,quite international,57:76,Positive,Standard,,,very good,30:39,Positive,Strong,Service,0:7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-7,But still I had to ask for the welcome drink voucher .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-8,"We 've got special price of 160 EUR / night , normal price was 199 EUR / night including breakfast .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00073_4ec3ca101056f97554290430ff17c373-9,I think it 's too much for what it offers .,it,8:10,too much for what it offers,14:41,Negative,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00021_200ecfff7ef01cd7ca9402afef5965da-1,Relax in the city,,,Relax in the city,0:17,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00021_200ecfff7ef01cd7ca9402afef5965da-2,"Perfect hotel to discover Köln , just out of the real center ( only 2 stops with the "" U · Bahn "" ) .",2 stops,68:75,only,63:67,Positive,Standard,,,Perfect,0:7,Positive,Strong,hotel,8:13,the real center,45:60,just out of,33:44,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00021_200ecfff7ef01cd7ca9402afef5965da-3,Easy to reach by car and there are enough parking places .,,,Easy to reach by car,0:20,Positive,Standard,,,there are enough,25:41,Positive,Standard,parking places,42:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00021_200ecfff7ef01cd7ca9402afef5965da-4,"The wellness facilities are perfect , but can be crowded on saturday .",The wellness facilities,0:23,perfect,28:35,Positive,Strong,,,can be crowded on saturday,42:68,Negative,Standard,The wellness facilities,0:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00021_200ecfff7ef01cd7ca9402afef5965da-5,"Clean , renewed rooms .",rooms,16:21,Clean,0:5,Positive,Standard,,,renewed,8:15,Positive,Standard,rooms,16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-1,Quite comfortable hotel in excellent location,location,37:45,excellent,27:36,Positive,Strong,,,Quite comfortable,0:17,Positive,Standard,hotel,18:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-2,Have stayed at the Carlton in Amsterdam quite a number of times .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-3,Have also stayed in other hotels and to me NH CARLTON is definitely the best .,NH CARLTON,43:53,definitely the best,57:76,Positive,Strong,me,40:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-4,"Very close to Flower Market , Pathé cinema , bars for every kind .... Very convenient nearby tram stop .",,,"Very close to Flower Market , Pathé cinema , bars",0:49,Positive,Standard,,,Very convenient nearby tram stop,70:102,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-5,Breakfast in superbly decorated and furnished lounge is delicious ( though somewhat overcharged ... so try to book your room at the NH Carlton breakfast included ) and view on the city is great .,Breakfast,0:9,delicious,56:65,Positive,Strong,,,great,188:193,Positive,Strong,view on the city,168:184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-6,Rooms are spacious and neatly decorated .,Rooms,0:5,neatly decorated,23:39,Positive,Standard,,,spacious,10:18,Positive,Standard,Rooms,0:5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-7,Dam Square is only a few minutes ' walk or 2 tram stops away .,Dam Square,0:10,only a few minutes ' walk or 2 tram stops away,14:60,Positive,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00167_cc796a2ecc444b13f812e5ff758ba063-8,A definitely highly recommended hotel .,hotel,32:37,highly recommended,13:31,Positive,Strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../opener/en/kaf/hotel/english00028_215e138d3847d893cf98d98f444770c3-1,Titanic Mutinee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
